i,j,lat,lon,road_km,road_area_ha,station,season_t,peak_day_t
17,29,43.04751,141.20566,0.15,0.09,西区(平和),313,9
17,28,43.03846,141.20566,0.11,0.07,西区(平和),243,7
13,27,43.02942,141.15648,0.59,0.35,西区(平和),1266,37
14,27,43.02942,141.16878,0.94,0.57,西区(平和),2033,59
13,26,43.02037,141.15648,1.13,0.68,南区(定山渓),2108,58
14,28,43.03846,141.16878,0.62,0.37,西区(平和),1327,39
27,26,43.02037,141.32861,1.46,1.21,南区(南31条西8丁目),3123,121
22,27,43.02942,141.26714,0.22,0.26,西区(平和),941,27
11,28,43.03846,141.13189,0.26,0.31,西区(平和),1121,33
10,29,43.04751,141.1196,1.3,1.56,西区(平和),5601,164
10,28,43.03846,141.1196,0.9,1.08,西区(平和),3870,113
39,33,43.08368,141.47615,2.21,1.38,厚別区,3492,138
8,32,43.07464,141.09501,1.2,1.44,西区(平和),5180,151
23,26,43.02037,141.27943,1.02,0.61,南区(南31条西8丁目),1580,61
23,25,43.01133,141.27943,0.26,0.16,南区(南31条西8丁目),409,16
7,32,43.07464,141.08271,1.35,1.49,西区(平和),5363,157
6,34,43.09273,141.07042,0.81,0.94,西区(平和),3370,98
6,33,43.08368,141.07042,0.08,0.09,西区(平和),326,10
7,33,43.08368,141.08271,1.33,1.6,西区(平和),5752,168
10,30,43.05655,141.1196,0.39,0.47,西区(平和),1673,49
38,34,43.09273,141.46386,7.27,4.36,厚別区,11033,436
37,34,43.09273,141.45156,2.85,1.71,厚別区,4332,171
34,34,43.09273,141.41468,22.25,14.34,東区,39999,1362
34,35,43.10177,141.41468,25.9,17.17,東区,47894,1631
31,35,43.10177,141.37779,29.2,18.32,東区,51108,1740
36,38,43.1289,141.43927,11.51,7.47,北区(あいの里),16541,560
36,37,43.11986,141.43927,6.0,3.91,北区(あいの里),8663,293
37,38,43.1289,141.45156,3.5,2.1,北区(あいの里),4653,158
37,37,43.11986,141.45156,1.64,0.98,北区(あいの里),2178,74
35,37,43.11986,141.42697,0.64,0.54,北区(あいの里),1207,41
35,38,43.1289,141.42697,2.25,1.71,北区(あいの里),3778,128
36,39,43.13795,141.43927,4.38,2.93,北区(あいの里),6483,220
34,39,43.13795,141.41468,7.01,5.54,北区(あいの里),12278,416
35,39,43.13795,141.42697,4.73,2.84,北区(あいの里),6287,213
35,40,43.14699,141.42697,2.41,2.02,北区(あいの里),4477,152
35,35,43.10177,141.42697,28.58,18.47,東区,51529,1755
35,36,43.11081,141.42697,17.34,11.36,北区(あいの里),25163,852
34,37,43.11986,141.41468,4.82,4.45,北区(あいの里),9862,334
33,35,43.10177,141.40238,26.06,17.76,東区,49562,1688
34,36,43.11081,141.41468,13.88,9.52,北区(あいの里),21093,714
33,37,43.11986,141.40238,10.46,7.83,北区(あいの里),17351,587
33,36,43.11081,141.40238,6.31,5.58,北区(太平),14935,447
32,36,43.11081,141.39009,3.37,2.98,北区(太平),7976,239
30,36,43.11081,141.3655,25.39,16.35,北区(太平),43736,1308
29,37,43.11986,141.3532,30.65,19.91,北区(太平),53250,1593
30,37,43.11986,141.3655,24.29,16.13,北区(太平),43136,1290
27,35,43.10177,141.32861,28.15,18.36,北区(太平),49120,1469
34,38,43.1289,141.41468,12.63,9.57,北区(あいの里),21206,718
34,41,43.15603,141.41468,6.67,6.88,北区(あいの里),15230,516
34,40,43.14699,141.41468,2.41,2.71,北区(あいの里),6011,204
33,39,43.13795,141.40238,4.23,2.84,北区(あいの里),6289,213
31,36,43.11081,141.37779,17.12,11.89,北区(太平),31797,951
31,37,43.11986,141.37779,3.85,2.64,北区(太平),7054,211
22,34,43.09273,141.26714,22.26,15.03,西区(西野),43663,1503
25,36,43.11081,141.30402,26.36,17.19,北区(太平),45982,1375
25,35,43.10177,141.30402,17.96,12.02,北区(太平),32147,961
24,36,43.11081,141.29173,15.09,10.55,手稲区,29975,1055
18,38,43.1289,141.21796,23.85,15.01,手稲区,42641,1501
20,36,43.11081,141.24255,19.2,12.58,手稲区,35720,1258
20,37,43.11986,141.24255,20.86,14.13,手稲区,40136,1413
21,37,43.11986,141.25484,24.53,15.98,手稲区,45374,1598
21,38,43.1289,141.25484,23.11,15.38,手稲区,43682,1538
22,38,43.1289,141.26714,25.44,17.25,手稲区,48982,1725
21,39,43.13795,141.25484,17.15,12.37,手稲区,35130,1237
20,38,43.1289,141.24255,25.5,16.13,手稲区,45799,1613
26,35,43.10177,141.31632,27.12,16.84,北区(太平),45048,1347
26,34,43.09273,141.31632,28.08,18.12,北区(太平),48458,1449
26,36,43.11081,141.31632,31.46,19.55,北区(太平),52295,1564
33,40,43.14699,141.40238,3.66,2.2,北区(あいの里),4867,165
32,40,43.14699,141.39009,4.73,3.01,北区(あいの里),6666,226
32,41,43.15603,141.39009,25.41,17.54,北区(あいの里),38859,1316
33,41,43.15603,141.40238,21.67,15.32,北区(あいの里),33936,1149
34,42,43.16508,141.41468,14.99,10.47,北区(あいの里),23182,785
36,40,43.14699,141.43927,3.91,3.65,北区(あいの里),8090,274
35,41,43.15603,141.42697,3.38,2.94,北区(あいの里),6522,221
30,39,43.13795,141.3655,27.69,18.35,北区(太平),49074,1468
31,39,43.13795,141.37779,10.52,7.23,北区(あいの里),16017,542
30,40,43.14699,141.3655,25.47,16.98,北区(あいの里),37611,1274
29,40,43.14699,141.3532,25.17,15.82,北区(太平),42317,1266
29,41,43.15603,141.3532,24.33,16.54,北区(あいの里),36637,1241
30,41,43.15603,141.3655,13.4,10.09,北区(あいの里),22351,757
29,42,43.16508,141.3532,10.01,7.13,北区(あいの里),15784,534
31,41,43.15603,141.37779,28.31,19.55,北区(あいの里),43303,1466
30,42,43.16508,141.3655,4.7,4.0,北区(あいの里),8856,300
31,42,43.16508,141.37779,4.54,3.19,北区(あいの里),7064,239
31,40,43.14699,141.37779,20.92,14.23,北区(あいの里),31517,1067
30,38,43.1289,141.3655,13.69,9.59,北区(太平),25653,767
21,36,43.11081,141.25484,25.72,16.66,手稲区,47321,1666
22,37,43.11986,141.26714,27.48,17.5,手稲区,49691,1750
22,36,43.11081,141.26714,27.76,17.61,手稲区,50007,1761
37,39,43.13795,141.45156,2.06,1.24,北区(あいの里),2736,93
37,40,43.14699,141.45156,0.88,0.53,北区(あいの里),1168,40
36,41,43.15603,141.43927,0.4,0.24,北区(あいの里),537,18
35,42,43.16508,141.42697,0.12,0.07,北区(あいの里),160,5
32,42,43.16508,141.39009,20.24,13.14,北区(あいの里),29112,986
33,42,43.16508,141.40238,17.6,11.35,北区(あいの里),25132,851
28,40,43.14699,141.34091,14.28,10.16,北区(太平),27181,813
28,39,43.13795,141.34091,26.67,17.25,北区(太平),46152,1380
28,41,43.15603,141.34091,3.77,3.52,北区(太平),9409,281
28,38,43.1289,141.34091,26.08,16.62,北区(太平),44446,1329
25,39,43.13795,141.30402,6.27,5.58,北区(太平),14914,446
26,39,43.13795,141.31632,22.09,14.66,北区(太平),39206,1173
24,37,43.11986,141.29173,15.14,11.84,手稲区,33631,1184
24,38,43.1289,141.29173,6.36,4.81,手稲区,13658,481
25,38,43.1289,141.30402,12.35,9.75,北区(太平),26089,780
25,37,43.11986,141.30402,19.51,12.77,北区(太平),34153,1021
24,39,43.13795,141.29173,3.18,2.76,手稲区,7842,276
23,36,43.11081,141.27943,17.23,12.42,手稲区,35279,1242
23,37,43.11986,141.27943,24.39,16.67,手稲区,47355,1667
23,35,43.10177,141.27943,13.58,9.29,手稲区,26386,929
24,35,43.10177,141.29173,20.3,13.33,手稲区,37846,1333
22,35,43.10177,141.26714,26.55,18.27,手稲区,51880,1827
21,34,43.09273,141.25484,8.74,5.93,西区(西野),17212,593
29,38,43.1289,141.3532,30.17,19.87,北区(太平),53139,1589
29,39,43.13795,141.3532,27.01,17.71,北区(太平),47367,1417
20,40,43.14699,141.24255,17.92,12.41,手稲区,35231,1241
21,40,43.14699,141.25484,3.55,2.63,手稲区,7475,263
23,38,43.1289,141.27943,20.06,13.27,手稲区,37701,1327
22,39,43.13795,141.26714,9.29,6.89,手稲区,19568,689
20,41,43.15603,141.24255,1.14,0.69,手稲区,1949,69
19,41,43.15603,141.23025,1.89,1.22,手稲区,3459,122
20,39,43.13795,141.24255,24.92,15.83,手稲区,44960,1583
26,37,43.11986,141.31632,29.17,18.9,北区(太平),50548,1512
27,37,43.11986,141.32861,32.23,20.42,北区(太平),54631,1634
27,38,43.1289,141.32861,29.82,19.19,北区(太平),51325,1535
26,38,43.1289,141.31632,32.15,20.62,北区(太平),55167,1650
28,37,43.11986,141.34091,24.76,15.99,北区(太平),42762,1279
27,36,43.11081,141.32861,27.09,17.42,北区(太平),46590,1393
21,35,43.10177,141.25484,21.88,13.85,手稲区,39346,1385
20,35,43.10177,141.24255,6.39,3.83,手稲区,10882,383
16,38,43.1289,141.19337,4.11,2.5,手稲区,7087,250
18,39,43.13795,141.21796,17.18,11.0,手稲区,31234,1100
19,38,43.1289,141.23025,16.43,10.51,手稲区,29853,1051
19,39,43.13795,141.23025,19.31,12.65,手稲区,35936,1265
16,39,43.13795,141.19337,13.07,8.69,手稲区,24672,869
16,40,43.14699,141.19337,0.21,0.13,手稲区,361,13
17,39,43.13795,141.20566,24.84,15.5,手稲区,44031,1550
23,39,43.13795,141.27943,2.24,1.35,手稲区,3820,135
27,39,43.13795,141.32861,24.3,15.81,北区(太平),42302,1265
18,36,43.11081,141.21796,2.37,2.13,手稲区,6053,213
19,36,43.11081,141.23025,2.02,1.74,手稲区,4947,174
19,35,43.10177,141.23025,1.08,0.97,手稲区,2753,97
17,34,43.09273,141.20566,1.41,1.27,西区(西野),3699,127
18,34,43.09273,141.21796,0.35,0.32,西区(西野),925,32
17,35,43.10177,141.20566,1.66,1.45,手稲区,4109,145
18,35,43.10177,141.21796,0.06,0.06,手稲区,165,6
19,37,43.11986,141.23025,16.04,10.07,手稲区,28586,1007
17,40,43.14699,141.20566,2.16,1.62,手稲区,4594,162
32,37,43.11986,141.39009,3.84,3.07,北区(太平),8205,245
33,38,43.1289,141.40238,16.15,10.09,北区(あいの里),22340,756
36,36,43.11081,141.43927,8.38,5.07,北区(あいの里),11233,380
37,36,43.11081,141.45156,0.86,0.51,北区(あいの里),1139,39
18,40,43.14699,141.21796,2.5,1.6,手稲区,4548,160
26,40,43.14699,141.31632,8.85,7.31,北区(太平),19556,585
27,40,43.14699,141.32861,10.63,8.1,北区(太平),21655,648
22,40,43.14699,141.26714,1.64,0.98,手稲区,2794,98
32,38,43.1289,141.39009,6.44,4.56,北区(あいの里),10093,342
32,39,43.13795,141.39009,6.18,4.09,北区(あいの里),9053,307
31,38,43.1289,141.37779,9.74,6.51,北区(太平),17406,521
19,40,43.14699,141.23025,9.05,5.85,手稲区,16612,585
17,38,43.1289,141.20566,20.09,12.83,手稲区,36428,1283
17,41,43.15603,141.20566,0.05,0.03,手稲区,84,3
18,41,43.15603,141.21796,3.07,1.84,手稲区,5236,184
18,37,43.11986,141.21796,9.86,6.0,手稲区,17032,600
17,37,43.11986,141.20566,3.03,1.94,手稲区,5519,194
16,37,43.11986,141.19337,1.07,0.74,手稲区,2104,74
25,40,43.14699,141.30402,0.39,0.35,北区(太平),935,28
38,35,43.10177,141.46386,1.4,0.84,厚別区,2124,84
16,36,43.11081,141.19337,1.13,0.68,手稲区,1933,68
16,35,43.10177,141.19337,0.63,0.38,手稲区,1075,38
39,34,43.09273,141.47615,0.69,0.42,厚別区,1050,42
29,43,43.17412,141.3532,1.6,1.04,北区(あいの里),2303,78
32,43,43.17412,141.39009,1.36,0.82,北区(あいの里),1813,61
30,43,43.17412,141.3655,0.25,0.15,北区(あいの里),331,11
33,44,43.18317,141.40238,1.24,0.75,北区(あいの里),1653,56
33,43,43.17412,141.40238,0.18,0.11,北区(あいの里),245,8
34,43,43.17412,141.41468,0.06,0.04,北区(あいの里),86,3
