id,name,address,location_type,fleet,source_url,address_source_url,latitude,longitude,available_now,fleet_as_of,fleet_scope,location_status,geocoded_title,geocode_source_url
toyo,東洋ロードメンテナンス株式会社,札幌市西区発寒13条14丁目1080番地29,発寒事業所,"{""グレーダ"": 3, ""大型ロータリ"": 2, ""ショベルローダ"": 7, ""4tダンプ"": 2}",https://toyoroad.co.jp/about/,https://toyoroad.co.jp/about/,43.107235,141.278854,,,会社公表保有数。所在地への配備内訳、除雪装備、当日稼働台数は未確認,国土地理院住所検索の単一候補／代表点・入口未確認,北海道札幌市西区発寒十三条十四丁目１０８０番地,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E6%9C%AD%E5%B9%8C%E5%B8%82%E8%A5%BF%E5%8C%BA%E7%99%BA%E5%AF%9213%E6%9D%A114%E4%B8%81%E7%9B%AE1080%E7%95%AA%E5%9C%B029
kashima,鹿島舗道工業株式会社,札幌市南区中の沢1775-5,資材センター・モータープール,"{""グレーダー"": 3, ""大型ロータリー"": 1, ""タイヤショベル2.0–2.8m3"": 10, ""小型ショベル"": 3, ""4tダンプ"": 9}",https://kashimahodou.jp/,https://kashimahodou.jp/,42.997581,141.311951,,,会社公表保有数。所在地への配備内訳、除雪装備、当日稼働台数は未確認,国土地理院住所検索の単一候補／代表点・入口未確認,北海道札幌市南区中ノ沢１７７５番地,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8D%97%E5%8C%BA%E4%B8%AD%E3%81%AE%E6%B2%A21775-5
satsuichi,株式会社サツイチ,札幌市北区新川7条16丁目708番地3,本社・土木事業部,"{""10tダンプ"": 23, ""タイヤショベル"": 4}",https://www.satsuichi.co.jp/engineering/,https://www.satsuichi.co.jp/about/,43.118286,141.300674,,,会社公表保有数。所在地への配備内訳、除雪装備、当日稼働台数は未確認,国土地理院住所検索の単一候補／代表点・入口未確認,北海道札幌市北区新川七条十六丁目７０８番地,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8C%97%E5%8C%BA%E6%96%B0%E5%B7%9D7%E6%9D%A116%E4%B8%81%E7%9B%AE708%E7%95%AA%E5%9C%B03
krs,KRS株式会社,札幌市白石区川下577番地87号,工事事務所,"{""11tダンプ"": 4, ""4tダンプ"": 4, ""2tダンプ"": 1, ""タイヤショベル2m3"": 1, ""タイヤショベル1.5m3"": 2, ""タイヤショベル0.8m3"": 2, ""タイヤショベル0.5m3以下"": 2}",https://www.krs-sapporo.co.jp/business/,https://www.krs-sapporo.co.jp/business/,43.06868,141.443802,,,会社公表保有数。所在地への配備内訳、除雪装備、当日稼働台数は未確認,国土地理院住所検索の単一候補／代表点・入口未確認,北海道札幌市白石区川下５７７番地,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E6%9C%AD%E5%B9%8C%E5%B8%82%E7%99%BD%E7%9F%B3%E5%8C%BA%E5%B7%9D%E4%B8%8B577%E7%95%AA%E5%9C%B087%E5%8F%B7
