date,station,kind,value_cm,quality,source_url
2025-11-05,北区(太平),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-05,北区(あいの里),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-05,東区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-05,白石区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-05,厚別区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-05,豊平区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-05,清田区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-05,南区(南31条西8丁目),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-05,南区(定山渓),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-05,西区(西野),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-05,西区(平和),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-05,手稲区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,中央区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,北区(太平),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,北区(あいの里),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,東区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,白石区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,厚別区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,豊平区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,清田区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,南区(南31条西8丁目),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,南区(定山渓),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,西区(西野),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,西区(平和),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-06,手稲区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,中央区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,北区(太平),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,北区(あいの里),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,東区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,白石区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,厚別区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,豊平区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,清田区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,南区(南31条西8丁目),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,南区(定山渓),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,西区(西野),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,西区(平和),snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-07,手稲区,snowfall,0.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,中央区,snowfall,11.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,北区(太平),snowfall,8.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
2025-11-08,北区(あいの里),snowfall,8.0,published; reference periods in source notes,https://www.city.sapporo.jp/kensetsu/yuki/documents/snowfall_r08_0411.xls
