ward,district,fiscal_year,status,city_loan,minimum_including_city_loan,contractor_owned,available_now,source_url,minimum_source_url,source_page
白石区,北地区,2026,予定・参考／稼働実績ではない,"{""grader"": 9, ""snow_truck"": 0, ""wheel_loader"": 0, ""rotary_large"": 1, ""rotary_40ps"": 0, ""rotary_80_130ps"": 9, ""spreader_4m3"": 0, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 11, ""wheel_loader_8t"": 25, ""rotary_80_130ps"": 9, ""rotary_large"": 3, ""dump_10t"": 45}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
厚別区,南地区,2026,予定・参考／稼働実績ではない,"{""grader"": 5, ""snow_truck"": 1, ""wheel_loader"": 2, ""rotary_large"": 1, ""rotary_40ps"": 0, ""rotary_80_130ps"": 8, ""spreader_4m3"": 1, ""spreader_2m3"": 0, ""spreader_sidewalk"": 1}","{""grader_family"": 7, ""wheel_loader_8t"": 17, ""rotary_80_130ps"": 8, ""rotary_large"": 4, ""dump_10t"": 60}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
厚別区,北地区,2026,予定・参考／稼働実績ではない,"{""grader"": 2, ""snow_truck"": 0, ""wheel_loader"": 1, ""rotary_large"": 0, ""rotary_40ps"": 0, ""rotary_80_130ps"": 8, ""spreader_4m3"": 0, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 6, ""wheel_loader_8t"": 20, ""rotary_80_130ps"": 9, ""rotary_large"": 4, ""dump_10t"": 50}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
豊平区,東地区,2026,予定・参考／稼働実績ではない,"{""grader"": 2, ""snow_truck"": 0, ""wheel_loader"": 0, ""rotary_large"": 1, ""rotary_40ps"": 0, ""rotary_80_130ps"": 10, ""spreader_4m3"": 0, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 4, ""wheel_loader_8t"": 24, ""rotary_80_130ps"": 10, ""rotary_large"": 5, ""dump_10t"": 60}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
豊平区,西地区,2026,予定・参考／稼働実績ではない,"{""grader"": 9, ""snow_truck"": 0, ""wheel_loader"": 2, ""rotary_large"": 1, ""rotary_40ps"": 0, ""rotary_80_130ps"": 7, ""spreader_4m3"": 2, ""spreader_2m3"": 0, ""spreader_sidewalk"": 1}","{""grader_family"": 12, ""wheel_loader_8t"": 20, ""rotary_80_130ps"": 7, ""rotary_large"": 4, ""dump_10t"": 60}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
清田区,南地区,2026,予定・参考／稼働実績ではない,"{""grader"": 7, ""snow_truck"": 0, ""wheel_loader"": 0, ""rotary_large"": 2, ""rotary_40ps"": 0, ""rotary_80_130ps"": 8, ""spreader_4m3"": 2, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 8, ""wheel_loader_8t"": 23, ""rotary_80_130ps"": 8, ""rotary_large"": 5, ""dump_10t"": 60}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
清田区,北地区,2026,予定・参考／稼働実績ではない,"{""grader"": 5, ""snow_truck"": 0, ""wheel_loader"": 0, ""rotary_large"": 0, ""rotary_40ps"": 0, ""rotary_80_130ps"": 6, ""spreader_4m3"": 2, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 7, ""wheel_loader_8t"": 16, ""rotary_80_130ps"": 6, ""rotary_large"": 4, ""dump_10t"": 60}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
南区,南地区,2026,予定・参考／稼働実績ではない,"{""grader"": 7, ""snow_truck"": 2, ""wheel_loader"": 1, ""rotary_large"": 3, ""rotary_40ps"": 0, ""rotary_80_130ps"": 6, ""spreader_4m3"": 2, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 11, ""wheel_loader_8t"": 33, ""rotary_80_130ps"": 7, ""rotary_large"": 3, ""dump_10t"": 45}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
南区,北地区,2026,予定・参考／稼働実績ではない,"{""grader"": 7, ""snow_truck"": 0, ""wheel_loader"": 1, ""rotary_large"": 0, ""rotary_40ps"": 0, ""rotary_80_130ps"": 8, ""spreader_4m3"": 1, ""spreader_2m3"": 0, ""spreader_sidewalk"": 1}","{""grader_family"": 10, ""wheel_loader_8t"": 30, ""rotary_80_130ps"": 8, ""rotary_large"": 4, ""dump_10t"": 60}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
西区,南地区,2026,予定・参考／稼働実績ではない,"{""grader"": 4, ""snow_truck"": 1, ""wheel_loader"": 0, ""rotary_large"": 0, ""rotary_40ps"": 0, ""rotary_80_130ps"": 9, ""spreader_4m3"": 2, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 10, ""wheel_loader_8t"": 33, ""rotary_80_130ps"": 9, ""rotary_large"": 7, ""dump_10t"": 105}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
西区,北地区,2026,予定・参考／稼働実績ではない,"{""grader"": 7, ""snow_truck"": 1, ""wheel_loader"": 3, ""rotary_large"": 1, ""rotary_40ps"": 0, ""rotary_80_130ps"": 10, ""spreader_4m3"": 1, ""spreader_2m3"": 0, ""spreader_sidewalk"": 1}","{""grader_family"": 12, ""wheel_loader_8t"": 26, ""rotary_80_130ps"": 10, ""rotary_large"": 6, ""dump_10t"": 90}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
手稲区,南地区,2026,予定・参考／稼働実績ではない,"{""grader"": 8, ""snow_truck"": 1, ""wheel_loader"": 4, ""rotary_large"": 0, ""rotary_40ps"": 1, ""rotary_80_130ps"": 6, ""spreader_4m3"": 1, ""spreader_2m3"": 1, ""spreader_sidewalk"": 0}","{""grader_family"": 11, ""wheel_loader_8t"": 26, ""rotary_80_130ps"": 6, ""rotary_large"": 4, ""dump_10t"": 60}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
手稲区,北地区,2026,予定・参考／稼働実績ではない,"{""grader"": 5, ""snow_truck"": 0, ""wheel_loader"": 1, ""rotary_large"": 1, ""rotary_40ps"": 0, ""rotary_80_130ps"": 10, ""spreader_4m3"": 0, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 6, ""wheel_loader_8t"": 24, ""rotary_80_130ps"": 10, ""rotary_large"": 4, ""dump_10t"": 60}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
